id,alias,image_url,url,review_count,rating,transactions,phone,coordinates.latitude,coordinates.longitude,location.city,location.zip_code,location.country,location.state,location.display_address,address,similitud_direccion,similitud_direccion_menor_50,aliases,aliases_2,price_num
qjnpkS8yZO8xcyEIy5OU9A,girl-and-the-goat-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,10512,4.4,['delivery'],13124926262,41.88419277030351,-87.64794613195826,Chicago,60607,US,IL,"['809 W Randolph', 'Chicago, IL 60607']",809 W Randolph,53,False,"['newamerican', 'bars', 'bakeries']","newamerican, bars, bakeries",3.0
boE4Ahsssqic7o5wQLI04w,the-purple-pig-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/8tga4iYDqJBBUUlD22F0cg/o.jpg,https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,8861,4.3,"['pickup', 'delivery']",13124641744,41.890694,-87.624782,Chicago,60611,US,IL,"['444 N Michigan Ave', 'Chicago, IL 60611']",444 N Michigan Ave,59,False,"['tapasmallplates', 'mediterranean', 'newamerican']","tapasmallplates, mediterranean, newamerican",3.0
riT822EnU7y_5eCuJsd9sA,cindys-rooftop-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/XLdHyZLsRMogjR4GNWCe-A/o.jpg,https://www.yelp.com/biz/cindys-rooftop-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,2717,4.1,['delivery'],13127923502,41.8816894031196,-87.6250061730162,Chicago,60603,US,IL,"['12 S Michigan Ave', 'Chicago, IL 60603']",12 S Michigan Ave,58,False,"['newamerican', 'seafood', 'breakfast_brunch']","newamerican, seafood, breakfast_brunch",2.0
gzhkdb6YoiFm5s3vriG1AA,gretel-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/-dxigk6aymnMlFvQ4xrQmg/o.jpg,https://www.yelp.com/biz/gretel-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,416,4.5,"['pickup', 'delivery']",17737703427,41.917275,-87.698577,Chicago,60647,US,IL,"['2833 W Armitage Ave', 'Chicago, IL 60647']",2833 W Armitage Ave,60,False,"['cocktailbars', 'newamerican', 'speakeasies']","cocktailbars, newamerican, speakeasies",2.0
cgIuo3geaxw1Sfhbqm5qTA,alla-vita-chicago-4,https://s3-media0.fl.yelpcdn.com/bphoto/X4XMxKMr4FfFdplvdP1BjA/o.jpg,https://www.yelp.com/biz/alla-vita-chicago-4?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,744,4.4,"['pickup', 'delivery']",13126670104,41.88468,-87.642322,Chicago,60661,US,IL,"['564 W Randolph St', 'Chicago, IL 60661']",564 W Randolph St,58,False,['italian'],italian,3.0
VPJk-SEWSWS_nGoQvM-COw,penumbra-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/IlSPQKhzbs2s0g7Cxshlmg/o.jpg,https://www.yelp.com/biz/penumbra-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,994,4.8,"['restaurant_reservation', 'delivery']",17737722343,41.924459,-87.710898,Chicago,60647,US,IL,"['3309 W Fullerton Ave', 'Chicago, IL 60647']",3309 W Fullerton Ave,62,False,"['wine_bars', 'seafood', 'steak']","wine_bars, seafood, steak",3.0
GZsrGq6H8CQ4YlGtE_Bm0Q,ciccio-mio-chicago-2,https://s3-media0.fl.yelpcdn.com/bphoto/svYjuC4e882nWyPRhlrQow/o.jpg,https://www.yelp.com/biz/ciccio-mio-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,578,4.7,['delivery'],13127963316,41.88939,-87.63524,Chicago,60654,US,IL,"['226 W Kinzie', 'Chicago, IL 60654']",226 W Kinzie,49,True,['italian'],italian,3.0
PZe0q_153VHUnaR-8dOTJg,the-dearborn-chicago-2,https://s3-media0.fl.yelpcdn.com/bphoto/eSXeGiq2bRUjy7KOER4jeg/o.jpg,https://www.yelp.com/biz/the-dearborn-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,2612,4.4,"['pickup', 'delivery']",13123841242,41.8842528,-87.6293151,Chicago,60602,US,IL,"['145 N Dearborn St', 'Chicago, IL 60602']",145 N Dearborn St,58,False,"['newamerican', 'breakfast_brunch', 'beer_and_wine']","newamerican, breakfast_brunch, beer_and_wine",2.0
xoi7Cw7FoknAx5p880RtWQ,au-cheval-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/hMkEoeA6rop-5ySJtoeHHw/o.jpg,https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,9333,4.4,"['pickup', 'delivery']",13129294580,41.88466,-87.647668,Chicago,60607,US,IL,"['800 W Randolph St', 'Chicago, IL 60607']",800 W Randolph St,58,False,"['bars', 'burgers', 'tradamerican']","bars, burgers, tradamerican",2.0
ngB0iQM1Yz7Nx_tQZqU7NA,daisies-chicago,https://s3-media0.fl.yelpcdn.com/bphoto/FnAf20lKnNhPllPKONhRSQ/o.jpg,https://www.yelp.com/biz/daisies-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,696,4.3,"['pickup', 'delivery']",17736979443,41.92444384539096,-87.69964666704485,Chicago,60647,US,IL,"['2375 N Milwaukee Ave', 'Chicago, IL 60647']",2375 N Milwaukee Ave,62,False,"['pastashops', 'newamerican', 'cocktailbars']","pastashops, newamerican, cocktailbars",3.0
