id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
qjnpkS8yZO8xcyEIy5OU9A,girl-and-the-goat-chicago,Girl & The Goat,https://s3-media0.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg,False,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,10512,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.4,['delivery'],$$$,+13124926262,(312) 492-6262,3401.2386759023707,41.88419277030351,-87.64794613195826,809 W Randolph,,,Chicago,60607,US,IL,"['809 W Randolph', 'Chicago, IL 60607']"
boE4Ahsssqic7o5wQLI04w,the-purple-pig-chicago,The Purple Pig,https://s3-media0.fl.yelpcdn.com/bphoto/8tga4iYDqJBBUUlD22F0cg/o.jpg,False,https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,8861,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'newamerican', 'title': 'New American'}]",4.3,"['pickup', 'delivery']",$$$,+13124641744,(312) 464-1744,4672.658118380336,41.890694,-87.624782,444 N Michigan Ave,,,Chicago,60611,US,IL,"['444 N Michigan Ave', 'Chicago, IL 60611']"
riT822EnU7y_5eCuJsd9sA,cindys-rooftop-chicago,Cindy's Rooftop,https://s3-media0.fl.yelpcdn.com/bphoto/XLdHyZLsRMogjR4GNWCe-A/o.jpg,False,https://www.yelp.com/biz/cindys-rooftop-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,2717,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.1,['delivery'],$$,+13127923502,(312) 792-3502,5091.190048420359,41.8816894031196,-87.6250061730162,12 S Michigan Ave,,,Chicago,60603,US,IL,"['12 S Michigan Ave', 'Chicago, IL 60603']"
gzhkdb6YoiFm5s3vriG1AA,gretel-chicago,Gretel,https://s3-media0.fl.yelpcdn.com/bphoto/-dxigk6aymnMlFvQ4xrQmg/o.jpg,False,https://www.yelp.com/biz/gretel-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,416,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.5,"['pickup', 'delivery']",$$,+17737703427,(773) 770-3427,2181.370354175089,41.917275,-87.698577,2833 W Armitage Ave,,,Chicago,60647,US,IL,"['2833 W Armitage Ave', 'Chicago, IL 60647']"
cgIuo3geaxw1Sfhbqm5qTA,alla-vita-chicago-4,Alla Vita,https://s3-media0.fl.yelpcdn.com/bphoto/X4XMxKMr4FfFdplvdP1BjA/o.jpg,False,https://www.yelp.com/biz/alla-vita-chicago-4?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,744,"[{'alias': 'italian', 'title': 'Italian'}]",4.4,"['pickup', 'delivery']",$$$,+13126670104,(312) 667-0104,3714.5750911319506,41.88468,-87.642322,564 W Randolph St,,,Chicago,60661,US,IL,"['564 W Randolph St', 'Chicago, IL 60661']"
VPJk-SEWSWS_nGoQvM-COw,penumbra-chicago,Penumbra,https://s3-media0.fl.yelpcdn.com/bphoto/IlSPQKhzbs2s0g7Cxshlmg/o.jpg,False,https://www.yelp.com/biz/penumbra-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,994,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.8,"['restaurant_reservation', 'delivery']",$$$,+17737722343,(773) 772-2343,3480.7928840306017,41.924459,-87.710898,3309 W Fullerton Ave,,,Chicago,60647,US,IL,"['3309 W Fullerton Ave', 'Chicago, IL 60647']"
GZsrGq6H8CQ4YlGtE_Bm0Q,ciccio-mio-chicago-2,Ciccio Mio,https://s3-media0.fl.yelpcdn.com/bphoto/svYjuC4e882nWyPRhlrQow/o.jpg,False,https://www.yelp.com/biz/ciccio-mio-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,578,"[{'alias': 'italian', 'title': 'Italian'}]",4.7,['delivery'],$$$,+13127963316,(312) 796-3316,3939.137303772896,41.88939,-87.63524,226 W Kinzie,,,Chicago,60654,US,IL,"['226 W Kinzie', 'Chicago, IL 60654']"
PZe0q_153VHUnaR-8dOTJg,the-dearborn-chicago-2,The Dearborn,https://s3-media0.fl.yelpcdn.com/bphoto/eSXeGiq2bRUjy7KOER4jeg/o.jpg,False,https://www.yelp.com/biz/the-dearborn-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,2612,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.4,"['pickup', 'delivery']",$$,+13123841242,(312) 384-1242,4637.0435326330025,41.8842528,-87.6293151,145 N Dearborn St,,,Chicago,60602,US,IL,"['145 N Dearborn St', 'Chicago, IL 60602']"
xoi7Cw7FoknAx5p880RtWQ,au-cheval-chicago,Au Cheval,https://s3-media0.fl.yelpcdn.com/bphoto/hMkEoeA6rop-5ySJtoeHHw/o.jpg,False,https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,9333,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American'}]",4.4,"['pickup', 'delivery']",$$,+13129294580,(312) 929-4580,3382.5619870115283,41.88466,-87.647668,800 W Randolph St,,,Chicago,60607,US,IL,"['800 W Randolph St', 'Chicago, IL 60607']"
ngB0iQM1Yz7Nx_tQZqU7NA,daisies-chicago,Daisies,https://s3-media0.fl.yelpcdn.com/bphoto/FnAf20lKnNhPllPKONhRSQ/o.jpg,False,https://www.yelp.com/biz/daisies-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,696,"[{'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,"['pickup', 'delivery']",$$$,+17736979443,(773) 697-9443,2799.3558599154912,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,,,Chicago,60647,US,IL,"['2375 N Milwaukee Ave', 'Chicago, IL 60647']"
